Code,Name,NameLong,Lat,Long,Cbseg,WaterBody,Description,Datum,CityCounty,Tidal,Comments,Fips,Huc12,State,Huc6Name
TUCCC.LIDDGU001,LIDDGU001,UNT W Susquehanna River,40.9671,-78.4865,,Curwensville Dam-West Branch Susquehanna River,UNT W Susquehanna River,NAD83,Clearfield County,FALSE,,42033,020502010408,Pennsylvania,
TUCCC.LIFACR001,LIFACR001,Little Fall Creek,41.5697,-77.20455,,Zimmerman Creek,Little Fall Creek,NAD83,Tioga County,FALSE,,42117,020502050501,Pennsylvania,
TUCCC.LIISRU001,LIISRU001,Lick Island Run,41.37281,-78.05257,,Lower First Fork Sinnemahoning Creek,Lick Island Run,NAD83,Cameron County,FALSE,,42023,020502020407,Pennsylvania,
TUCCC.LIKECR002,LIKECR002,Little Kettle Creek,41.58147,-77.704944,,Little Kettle Creek,Little Kettle Creek,NAD83,Potter County,FALSE,,42105,020502030101,Pennsylvania,
TUCCC.LIMORU001,LIMORU001,Little Moores Run,41.642867,-78.002183,,Big Moores Run,Little Moores Run,NAD83,Potter County,FALSE,,42105,020502020401,Pennsylvania,
TUCCC.LIPICR001,LIPICR001,Little Pine Creek,41.41283,-77.32124,,Little Pine Creek-Pine Creek,Little Pine Creek,NAD83,Lycoming County,FALSE,,42081,020502050506,Pennsylvania,
TUCCC.LIPICR002,LIPICR002,Little Pine Creek,41.309983,-77.362625,,Little Pine Creek-Pine Creek,Little Pine Creek,NAD83,Lycoming County,FALSE,,42081,020502050506,Pennsylvania,
TUCCC.LIPOCR001,LIPOCR001,Little Portage Creek,41.604447,-78.066728,,Freeman Run,Little Portage Creek,NAD83,Potter County,FALSE,,42105,020502020404,Pennsylvania,
TUCCC.LISLRU001,LISLRU001,Little Slate Run,41.46369,-77.505465,,Mill Run-Pine Creek,Little Slate Run,NAD83,Lycoming County,FALSE,,42081,020502050604,Pennsylvania,
CCST.LITFISCRE1.82,LITFISCRE1.82,,41.04028,-76.48333,,Little Fishing Creek-Fishing Creek,Little Fishing Creek,NAD83,Columbia County,FALSE,,42037,020501070602,Pennsylvania,
GCWD.LITKETCRE2.51,LITKETCRE2.51,Little Kettle Creek 2.51,41.5874,-77.70665,,Little Kettle Creek,Little Kettle Creek 2.51,NAD83,Potter County,FALSE,,42105,020502030101,Pennsylvania,West Branch Susquehanna
GCWD.LITPHORUN0.02,LITPHORUN0.02,Little Phoenix Run 0.02,41.81168,-77.62345,,Phoenix Run,Little Phoenix Run 0.02,NAD83,Potter County,FALSE,,42105,020502050205,Pennsylvania,West Branch Susquehanna
TUCCC.LOGURU001,LOGURU001,Logue Run,41.4646,-78.06251,,Middle First Fork Sinnemahoning Creek,Logue Run,NAD83,Cameron County,FALSE,,42023,020502020406,Pennsylvania,
TUCCC.LONGBO001,LONGBO001,Long Brook,41.36979,-76.48708,,Big Run-Muncy Creek,Long Brook,NAD83,Sullivan County,FALSE,,42113,020502060801,Pennsylvania,
TUCCC.LONGRU001,LONGRU001,Long Run,41.7652,-77.561223,,Long Run,Long Run,NAD83,Tioga County,FALSE,,42117,020502050207,Pennsylvania,
TUCCC.LONGRU002,LONGRU002,Long Run,41.79422,-77.5719,,Long Run,Long Run,NAD83,Tioga County,FALSE,,42117,020502050207,Pennsylvania,
TUCCC.LONGRU003,LONGRU003,Long Run,41.59668,-77.28945,,Long Run-Babb Creek,Long Run,NAD83,Tioga County,FALSE,,42117,020502050405,Pennsylvania,
TUCCC.LONRU001,LONRU001,Long Run,41.7652,-77.56122,,Long Run,Long Run,NAD83,Tioga County,FALSE,,42117,020502050207,Pennsylvania,
GCWD.LONRUN4.13,LONRUN4.13,Long Run 4.13,41.794478,-77.5719,,Long Run,Long Run 4.13,NAD83,Tioga County,FALSE,n/a,42117,020502050207,Pennsylvania,West Branch Susquehanna
